05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-4              0.00     0.00    2.56    2.19   217.86    42.16    54.82     0.00    0.72   0.32   0.15
dm-5              0.00     0.00    2.26    0.06    18.05     0.48     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.22     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.09     0.02     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    0.99     2.90     7.94    10.48     0.00    1.84   0.49   0.05
dm-9              0.00     0.00    2.36    1.19   213.80    34.20    69.86     0.00    0.42   0.28   0.10
dm-1              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:10:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    3.86    1.82   247.98    57.94    53.85     0.00    0.39   0.29   0.17
dm-0              0.06     0.76    3.38    1.82   244.07    57.94    58.08     0.00    0.46   0.35   0.18
dm-3              0.00     0.00    0.36    0.00    14.45     0.00    39.68     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    2.70    2.59   226.65    57.94    53.81     0.00    0.70   0.32   0.17
dm-5              0.00     0.00    2.20    0.06    17.60     0.47     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.21     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.08     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.01     2.82     8.11    10.37     0.00    1.84   0.49   0.05
dm-9              0.00     0.00    2.51    1.57   222.67    49.81    66.84     0.00    0.42   0.29   0.12
dm-1              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00    7.46    3.16   471.00   130.06    56.65     0.00    0.31   0.25   0.27
dm-0              0.06     1.02    6.98    3.16   467.11   130.06    58.94     0.00    0.34   0.28   0.28
dm-3              0.00     0.00    0.36    0.00    14.10     0.00    39.51     0.00    0.20   0.14   0.01
dm-4              0.00     0.00    6.31    4.17   450.08   130.06    55.33     0.00    0.47   0.26   0.27
dm-5              0.00     0.00    2.15    0.06    17.17     0.47     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.21     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.08     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.05     2.76     8.37    10.24     0.00    1.87   0.48   0.05
dm-9              0.00     0.00    6.12    3.12   446.18   121.68    61.43     0.00    0.31   0.24   0.22
dm-1              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:20:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   11.05    4.85   703.49   218.92    58.02     0.00    0.28   0.24   0.38
dm-0              0.06     1.29   10.57    4.85   699.62   218.92    59.56     0.00    0.31   0.26   0.40
dm-3              0.00     0.00    0.35    0.00    13.77     0.00    39.34     0.00    0.20   0.14   0.00
dm-4              0.00     0.00    9.91    6.14   682.95   218.92    56.17     0.01    0.40   0.24   0.39
dm-5              0.00     0.00    2.10    0.06    16.76     0.46     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.03    0.00     0.20     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.08     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.08     2.69     8.65    10.12     0.00    1.86   0.47   0.05
dm-9              0.00     0.00    9.73    5.05   679.12   210.25    60.16     0.00    0.29   0.23   0.34
dm-1              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.61     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:25:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   16.30    6.69  1040.21   315.65    58.98     0.01    0.26   0.23   0.53
dm-0              0.06     1.66   15.83    6.69  1036.38   315.65    60.05     0.01    0.28   0.25   0.55
dm-3              0.00     0.00    0.34    0.00    13.45     0.00    39.17     0.00    0.20   0.14   0.00
dm-4              0.00     0.00   15.18    8.34  1020.05   315.65    56.78     0.01    0.35   0.23   0.54
dm-5              0.00     0.00    2.05    0.06    16.37     0.46     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.02    0.00     0.20     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.08     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.13     2.63     9.01     9.99     0.00    1.87   0.45   0.05
dm-9              0.00     0.00   15.00    7.21  1016.30   306.62    59.57     0.01    0.27   0.22   0.49
dm-1              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:30:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   19.48    8.40  1247.98   390.92    58.77     0.01    0.26   0.23   0.64
dm-0              0.05     2.01   19.01    8.40  1244.17   390.92    59.63     0.01    0.28   0.24   0.67
dm-3              0.00     0.00    0.34    0.00    13.15     0.00    39.01     0.00    0.20   0.14   0.00
dm-4              0.00     0.00   18.38   10.41  1228.18   390.92    56.25     0.01    0.33   0.23   0.65
dm-5              0.00     0.00    2.00    0.06    16.00     0.45     8.00     0.00    0.70   0.07   0.02
dm-6              0.00     0.00    0.02    0.00     0.19     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.08     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.17     2.57     9.36     9.88     0.00    1.86   0.43   0.05
dm-9              0.00     0.00   18.19    9.23  1224.49   381.56    58.56     0.01    0.27   0.22   0.60
dm-1              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:35:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   25.01    9.99  1604.95   458.41    58.97     0.01    0.25   0.22   0.77
dm-0              0.05     2.39   24.54    9.99  1601.16   458.41    59.65     0.01    0.26   0.23   0.80
dm-3              0.00     0.00    0.33    0.00    12.86     0.00    38.84     0.00    0.20   0.14   0.00
dm-4              0.00     0.00   23.91   12.38  1585.48   458.41    56.33     0.01    0.31   0.22   0.78
dm-5              0.00     0.00    1.96    0.06    15.65     0.44     8.00     0.00    0.70   0.07   0.01
dm-6              0.00     0.00    0.02    0.00     0.19     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.07     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.23     2.52     9.81     9.76     0.00    1.87   0.41   0.05
dm-9              0.00     0.00   23.73   11.15  1581.85   448.59    58.22     0.01    0.26   0.21   0.73
dm-1              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:40:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   30.23   14.88  1974.40   712.53    59.56     0.01    0.25   0.23   1.02
dm-0              0.05     2.88   29.77   14.88  1970.63   712.53    60.10     0.01    0.26   0.24   1.06
dm-3              0.00     0.00    0.33    0.00    12.59     0.00    38.68     0.00    0.20   0.14   0.00
dm-4              0.00     0.00   29.15   17.76  1955.25   712.53    56.88     0.01    0.31   0.22   1.03
dm-5              0.00     0.00    1.91    0.06    15.31     0.44     8.00     0.00    0.70   0.07   0.01
dm-6              0.00     0.00    0.02    0.00     0.19     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.07     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.28     2.46    10.25     9.65     0.00    1.88   0.40   0.05
dm-9              0.00     0.00   28.97   16.47  1951.69   702.26    58.41     0.01    0.26   0.22   0.98
dm-1              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.08    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:45:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   34.62   16.72  2248.94   784.44    59.07     0.01    0.24   0.22   1.14
dm-0              0.05     3.33   34.16   16.72  2245.19   784.44    59.54     0.01    0.26   0.23   1.19
dm-3              0.00     0.00    0.32    0.00    12.33     0.00    38.52     0.00    0.20   0.14   0.00
dm-4              0.00     0.00   33.55   20.06  2230.09   784.44    56.24     0.02    0.30   0.22   1.16
dm-5              0.00     0.00    1.87    0.05    14.98     0.44     8.00     0.00    0.70   0.07   0.01
dm-6              0.00     0.00    0.02    0.00     0.18     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.07     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.34     2.41    10.73     9.54     0.00    1.94   0.38   0.05
dm-9              0.00     0.00   33.37   18.71  2226.59   773.69    57.61     0.01    0.26   0.21   1.11
dm-1              0.00     0.00    0.07    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:50:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   34.91   17.97  2289.06   832.62    59.04     0.01    0.25   0.23   1.19
dm-0              0.05     3.53   34.45   17.97  2285.33   832.62    59.48     0.01    0.26   0.24   1.25
dm-3              0.00     0.00    0.31    0.00    12.07     0.00    38.36     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   33.84   21.50  2270.51   832.62    56.07     0.02    0.31   0.22   1.21
dm-5              0.00     0.00    1.83    0.05    14.67     0.43     8.00     0.00    0.70   0.07   0.01
dm-6              0.00     0.00    0.02    0.00     0.18     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.07     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.04    1.38     2.36    11.07     9.47     0.00    1.97   0.37   0.05
dm-9              0.00     0.00   33.67   20.11  2267.07   821.54    57.43     0.01    0.26   0.22   1.16
dm-1              0.00     0.00    0.07    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 10:55:03 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   34.88   18.57  2304.06   848.38    58.98     0.01    0.25   0.23   1.22
dm-0              0.05     3.66   34.43   18.57  2300.35   848.38    59.42     0.01    0.27   0.24   1.27
dm-3              0.00     0.00    0.31    0.00    11.83     0.00    38.21     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   33.83   22.23  2285.80   848.38    55.91     0.02    0.31   0.22   1.23
dm-5              0.00     0.00    1.80    0.05    14.37     0.43     8.00     0.00    0.70   0.07   0.01
dm-6              0.00     0.00    0.02    0.00     0.17     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.07     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    1.42     2.32    11.37     9.40     0.00    2.03   0.36   0.05
dm-9              0.00     0.00   33.65   20.80  2282.41   837.00    57.28     0.01    0.27   0.22   1.19
dm-1              0.00     0.00    0.07    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.60     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 11:00:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   34.83   19.11  2320.89   868.18    59.13     0.01    0.25   0.23   1.24
dm-0              0.05     3.77   34.37   19.11  2317.20   868.18    59.56     0.01    0.27   0.24   1.30
dm-3              0.00     0.00    0.30    0.00    11.60     0.00    38.05     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   33.78   22.88  2302.90   868.18    55.97     0.02    0.32   0.22   1.26
dm-5              0.00     0.00    1.76    0.05    14.09     0.43     8.00     0.00    0.70   0.07   0.01
dm-6              0.00     0.00    0.02    0.00     0.17     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.02    0.01     0.07     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.03    1.46     2.27    11.66     9.34     0.00    2.09   0.36   0.05
dm-9              0.00     0.00   33.61   21.41  2299.57   856.50    57.36     0.01    0.27   0.22   1.21
dm-1              0.00     0.00    0.07    0.00     0.59     0.00     8.00     0.00    0.12   0.12   0.00
dm-2              0.00     0.00    0.07    0.00     0.59     0.00     8.00     0.00    0.12   0.12   0.00

05/16/13 11:05:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   34.64   19.43  2325.47   875.02    59.19     0.01    0.25   0.23   1.25
dm-0              0.05     3.87   34.19   19.43  2321.80   875.02    59.62     0.01    0.27   0.24   1.31
dm-3              0.00     0.00    0.30    0.00    11.37     0.00    37.89     0.00    0.19   0.14   0.00
dm-4              0.00     0.00   33.60   23.30  2307.75   875.02    55.94     0.02    0.32   0.22   1.27
